input_size,divide_and_conquer,brute_force
30,0.000002632,0.000001660
60,0.000002692,0.000002905
90,0.000003693,0.000004835
120,0.000003957,0.000007369
150,0.000005164,0.000010718
180,0.000005624,0.000014791
210,0.000006698,0.000019574
240,0.000007171,0.000025037
270,0.000008770,0.000031292
300,0.000009226,0.000037976
330,0.000010243,0.000045557
360,0.000010648,0.000053734
390,0.000011865,0.000062798
420,0.000012735,0.000072342
450,0.000013705,0.000082707
480,0.000014206,0.000093706
510,0.000014963,0.000105467
540,0.000016358,0.000147383
570,0.000017586,0.000130916
600,0.000018367,0.000144672
630,0.000018727,0.000160130
660,0.000019746,0.000174330
690,0.000020996,0.000219290
720,0.000021443,0.000207166
750,0.000022687,0.000223981
780,0.000023558,0.000241974
810,0.000025066,0.000286351
840,0.000025705,0.000280003
870,0.000026183,0.000300041
900,0.000026865,0.000336850
930,0.000027954,0.000342179
960,0.000028953,0.000377716
990,0.000043169,0.000387246
1020,0.000030531,0.000410600
1050,0.000031911,0.000463659
1080,0.000033556,0.000459819
1110,0.000034784,0.000503849
1140,0.000035111,0.000527335
1170,0.000036397,0.000542201
1200,0.000037177,0.000594579
1230,0.000037934,0.000595308
1260,0.000037580,0.000654271
1290,0.000038945,0.000670304
1320,0.000040675,0.000701720
1350,0.000041775,0.000715223
1380,0.000042446,0.000776508
1410,0.000043104,0.000809320
1440,0.000043880,0.000841652
1470,0.000045052,0.000868328
1500,0.000045534,0.000910172
1530,0.000045350,0.000944929
1560,0.000047876,0.000969723
1590,0.000048826,0.001015535
1620,0.000051029,0.001054805
1650,0.000050832,0.001094111
1680,0.000052093,0.001134407
1710,0.000070242,0.001170914
1740,0.000053104,0.001212557
1770,0.000053849,0.001242304
1800,0.000054785,0.001321453
1830,0.000056709,0.001335223
1860,0.000057974,0.001380889
1890,0.000058706,0.001398409
1920,0.000059078,0.001442907
1950,0.000060743,0.001486074
1980,0.000061376,0.001534043
2010,0.000061479,0.001579861
2040,0.000061857,0.001627274
2070,0.000064239,0.001674134
2100,0.000066502,0.001723342
2130,0.000067433,0.001770726
2160,0.000071499,0.001819715
