input_size,divide_and_conquer,brute_force
5,0.000001741,0.000000980
10,0.000001126,0.000001090
15,0.000001238,0.000001053
20,0.000001322,0.000001186
25,0.000001607,0.000001292
30,0.000001624,0.000001437
35,0.000001807,0.000001663
40,0.000001765,0.000001810
45,0.000001911,0.000001985
50,0.000002013,0.000002235
55,0.000002255,0.000002412
60,0.000002200,0.000003340
65,0.000002400,0.000005693
70,0.000002932,0.000003809
75,0.000003171,0.000004068
80,0.000003005,0.000003928
85,0.000003034,0.000004316
90,0.000003034,0.000004790
95,0.000003147,0.000005116
100,0.000003307,0.000005670
105,0.000003665,0.000006004
110,0.000003551,0.000006475
115,0.000003800,0.000006943
120,0.000003766,0.000007399
125,0.000003988,0.000007890
130,0.000004090,0.000008429
135,0.000004410,0.000009070
140,0.000004523,0.000009667
145,0.000004557,0.000010203
150,0.000004776,0.000010782
155,0.000004791,0.000011439
160,0.000004711,0.000012139
165,0.000005095,0.000012752
170,0.000005196,0.000013505
175,0.000005226,0.000014142
180,0.000005444,0.000014797
185,0.000005535,0.000015623
190,0.000005570,0.000023587
195,0.000005906,0.000017247
200,0.000005916,0.000017951
205,0.000006425,0.000018717
210,0.000006461,0.000019591
215,0.000006556,0.000020417
220,0.000006553,0.000021382
225,0.000006651,0.000022252
230,0.000006727,0.000023152
235,0.000006955,0.000024080
240,0.000006940,0.000025015
245,0.000007244,0.000026065
250,0.000007248,0.000026946
255,0.000007165,0.000028053
260,0.000007769,0.000029079
265,0.000007842,0.000043688
270,0.000008979,0.000043677
275,0.000008231,0.000032279
280,0.000008419,0.000033395
285,0.000008660,0.000034502
290,0.000008514,0.000035724
295,0.000008872,0.000036811
300,0.000008951,0.000038109
305,0.000009127,0.000039330
310,0.000009031,0.000040526
315,0.000008914,0.000041810
320,0.000008787,0.000042960
325,0.000009473,0.000044243
330,0.000009884,0.000045713
335,0.000009525,0.000047001
340,0.000010146,0.000048349
345,0.000010202,0.000049719
350,0.000010010,0.000051105
355,0.000010373,0.000068157
360,0.000012117,0.000064452
365,0.000010411,0.000055268
370,0.000010648,0.000056755
375,0.000010647,0.000058228
380,0.000010851,0.000060696
385,0.000010861,0.000061264
390,0.000011392,0.000062737
395,0.000011506,0.000064274
400,0.000011554,0.000066012
405,0.000012232,0.000067452
410,0.000012168,0.000069151
415,0.000011887,0.000070649
420,0.000029534,0.000087887
425,0.000012571,0.000074078
430,0.000012406,0.000075756
435,0.000012716,0.000077495
440,0.000012461,0.000079302
445,0.000012560,0.000080951
450,0.000012916,0.000082674
455,0.000013161,0.000084634
460,0.000013546,0.000086430
465,0.000013527,0.000102994
470,0.000025407,0.000090024
475,0.000013722,0.000091968
480,0.000013762,0.000093785
485,0.000014310,0.000095704
490,0.000014378,0.000097692
495,0.000014293,0.000099570
500,0.000014516,0.000101513
505,0.000014522,0.000103466
510,0.000014457,0.000133109
515,0.000014935,0.000107465
520,0.000015248,0.000109643
525,0.000015648,0.000111609
530,0.000015861,0.000113721
535,0.000015825,0.000115803
540,0.000015949,0.000117942
545,0.000016265,0.000147793
550,0.000016160,0.000122252
555,0.000016671,0.000124524
560,0.000016505,0.000126577
565,0.000016809,0.000128771
570,0.000016840,0.000130985
575,0.000016414,0.000133216
580,0.000021835,0.000148863
585,0.000017284,0.000137770
590,0.000017200,0.000140119
595,0.000017716,0.000142466
600,0.000017518,0.000144793
605,0.000017684,0.000149810
610,0.000020444,0.000160334
615,0.000018125,0.000151935
620,0.000018190,0.000154389
625,0.000018167,0.000157708
630,0.000018260,0.000159307
635,0.000018358,0.000188124
640,0.000017737,0.000164277
645,0.000018880,0.000166730
650,0.000019141,0.000169250
655,0.000019131,0.000171857
660,0.000019396,0.000202045
665,0.000019578,0.000177071
670,0.000019379,0.000179598
675,0.000020284,0.000182264
680,0.000020235,0.000184934
685,0.000020217,0.000216045
690,0.000020144,0.000193800
695,0.000020261,0.000192980
700,0.000020346,0.000195902
705,0.000020620,0.000225400
710,0.000020868,0.000201312
715,0.000021024,0.000204101
720,0.000020905,0.000206876
725,0.000021271,0.000237382
730,0.000021212,0.000212590
735,0.000021255,0.000215494
740,0.000021302,0.000218278
745,0.000021599,0.000239943
750,0.000021548,0.000224159
755,0.000021474,0.000227124
760,0.000021704,0.000230047
765,0.000021361,0.000262314
770,0.000022396,0.000236074
775,0.000022617,0.000241005
780,0.000022561,0.000242223
785,0.000023134,0.000263580
790,0.000023335,0.000248238
795,0.000023518,0.000251329
800,0.000023319,0.000283094
805,0.000024002,0.000257595
810,0.000024475,0.000260758
815,0.000024082,0.000263950
820,0.000030023,0.000277913
825,0.000024161,0.000270327
830,0.000024304,0.000273563
835,0.000024622,0.000305118
840,0.000024760,0.000280071
845,0.000024656,0.000283305
850,0.000025155,0.000313275
855,0.000024975,0.000289971
860,0.000025002,0.000293327
865,0.000025249,0.000324018
870,0.000025485,0.000300052
875,0.000025431,0.000303430
880,0.000025205,0.000336150
885,0.000025882,0.000310459
890,0.000025543,0.000313900
895,0.000025518,0.000344350
900,0.000026154,0.000320840
905,0.000026604,0.000351134
910,0.000026701,0.000327904
915,0.000027098,0.000331429
920,0.000027066,0.000361853
925,0.000027091,0.000338614
930,0.000027390,0.000342255
935,0.000027583,0.000373278
940,0.000027909,0.000349554
945,0.000027923,0.000381113
950,0.000028137,0.000356915
955,0.000028005,0.000360601
960,0.000027875,0.000391024
965,0.000028736,0.000368113
970,0.000028959,0.000390249
975,0.000028756,0.000375682
980,0.000029249,0.000394373
985,0.000040074,0.000383402
990,0.000028888,0.000387249
995,0.000029495,0.000394151
1000,0.000029297,0.000394904
1005,0.000029265,0.000399813
1010,0.000029327,0.000402850
1015,0.000029328,0.000417938
1020,0.000029331,0.000410796
1025,0.000029688,0.000414821
1030,0.000031065,0.000418728
1035,0.000030508,0.000422838
1040,0.000030738,0.000427692
1045,0.000031432,0.000430843
1050,0.000031519,0.000435816
1055,0.000031312,0.000439885
1060,0.000031572,0.000444092
1065,0.000031714,0.000447269
1070,0.000032142,0.000452331
1075,0.000032209,0.000455554
1080,0.000032068,0.000460660
1085,0.000032439,0.000463953
1090,0.000032254,0.000469244
1095,0.000032920,0.000472477
1100,0.000032776,0.000477706
1105,0.000033198,0.000481030
1110,0.000033225,0.000486260
1115,0.000033166,0.000492058
1120,0.000033242,0.000494995
1125,0.000033429,0.000498363
1130,0.000034089,0.000503692
1135,0.000033510,0.000508753
1140,0.000033944,0.000511604
1145,0.000033625,0.000517172
1150,0.000033551,0.000520504
1155,0.000033979,0.000525934
1160,0.000034311,0.000529536
1165,0.000034973,0.000534986
1170,0.000034752,0.000538607
1175,0.000035138,0.000544161
1180,0.000035242,0.000548886
1185,0.000035737,0.000552312
1190,0.000035739,0.000557951
1195,0.000035379,0.000563567
1200,0.000035795,0.000567199
